Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210221,2021,12/01/2021,Hamden,85 ARCH ST,124880.00,250000.00,0.4995,Residential,Two Family,,,,POINT (-72.938462036 41.338536987)
200436,2020,05/04/2021,Groton,67 LEAFWOOD LN S250,71960.00,130000.00,0.5535,Residential,Condo,,,,
200020,2020,10/06/2020,Groton,98 EAST SHORE AVE,654570.00,990000.00,0.661181818,Residential,Single Family,07 - Change in Property,TEAR DOWN,,POINT (-72.00446 41.31252)
200080,2020,11/05/2020,Guilford,2 WINTERBERRY RD,239550.00,480000.00,0.499,Residential,Single Family,,,,
20614,2020,04/08/2021,Hartford,55 STERLING ST,52500.00,220000.00,0.2386,Residential,Two Family,,,,
201023,2020,07/26/2021,Hartford,410 MARKET ST,435610.00,525000.00,0.8297,Commercial,,,,,
200065,2020,03/31/2021,Harwinton,WHETSTONE RD,55380.00,85000.00,0.6515,Vacant Land,,,,,
200043,2020,12/09/2020,Killingworth,46 TITUS COAN ROAD,354040.00,645000.00,0.5488,Residential,Single Family,,,,
200010,2020,11/20/2020,Lyme,0 STERLING HILL RD,101100.00,250000.00,0.4044,Vacant Land,,,,,
210776,2021,04/29/2022,New Britain,291 MAIN ST,89390.00,125000.00,0.7151,Commercial,,,,,POINT (-72.781545014 41.668287009)
11490,2001,07/19/2002,Norwalk,29 PONUS AVE,148540.00,344000.00,0.431802326,,,,,,
22018,2022,03/13/2023,Norfolk,35 PARKER HILL RD,138620.00,380000.00,0.3648,Residential,Single Family,,,,POINT (-73.187962041 41.918188004)
10090,2001,06/18/2002,Sherman,1 WIMISINK DR,64050.00,117000.00,0.547435897,,,,,,
22046,2022,06/28/2023,Chester,264 MIDDLESEX AVE,455970.00,900000.00,0.5066,Commercial,,,VETERINARY CLINIC OF CHESTER,,POINT (-72.450141996 41.428068998)
10205,2001,06/18/2002,Oxford,31 CORTLAND PL,65930.00,125000.00,0.52744,,,,,,
10041,2001,10/04/2001,Stratford,86 MINOR CROSS,107090.00,0.00,0,,,1,,,
10885,2001,09/06/2002,Norwich,154 N MAIN ST,140400.00,200000.00,0.702,,,,,,
220300,2022,02/17/2023,Greenwich,2 MORTIMER DRIVE,927990.00,1850000.00,0.5016,Residential,Single Family,,,,POINT (-73.569801987 41.02801702)
20014,2020,10/06/2020,Monroe,22 MEADOWVIEW TER,189100.00,305000.00,0.62,Residential,Single Family,,,,
21136,2021,11/30/2021,Newtown,7 POSSUM RIDGE ROAD,243280.00,482500.00,0.5042,Residential,Single Family,,,,POINT (-73.327759026 41.402458009)
2000473,2020,05/18/2021,Naugatuck,33 FAIRCHILD ST,98900.00,184500.00,0.536,Residential,Single Family,,,,
213294,2021,11/30/2021,North Haven,27 DODGE AVE,943640.00,1600000.00,0.5897,Commercial,,,,,POINT (-72.844654039 41.420292017)
201057,2020,08/12/2021,New Britain,5 ARCH ST,264390.00,400000.00,0.6609,Commercial,,,,,
10035,2001,11/14/2001,Orange,832 DONNA DR,156800.00,275000.00,0.570181818,,,,,,
10024,2001,10/03/2001,New Britain,4 MADISON ST,52470.00,90000.00,0.583,,,,,,
210618,2021,05/23/2022,Norwich,114 SHERATON LN,37400.00,100000.00,0.374,Residential,Condo,,,,POINT (-72.120742003 41.509616995)
201207,2020,07/21/2021,New Haven,40 TEMPLE CT # 40,368130.00,850000.00,0.433,Residential,Condo,,,,
201176,2020,03/09/2021,New London,400 BANK ST UNIT 201,165550.00,191000.00,0.8667,Residential,Condo,,,,
21134,2021,01/31/2022,Plainfield,25 ROODE RD,266650.00,950000.00,0.2806,Industrial,,,,,POINT (-71.949970029 41.635752987)
220103,2022,03/30/2023,Suffield,19 STRATTON FARMS RD,79310.00,115000.00,0.6896,Vacant Land,,,,,POINT (-72.755304041 42.007039991)
210047,2021,02/03/2022,Preston,153A ROUTE 12,151200.00,290000.00,0.5213,Residential,Single Family,,,,POINT (-72.061471973 41.47311498)
201007,2020,03/22/2021,Norwalk,29 GREGORY BLVD,261800.00,450000.00,0.5817,Residential,Single Family,,3-47-5-0,,
10020,2001,10/02/2001,West Haven,84 WEST WALK,64050.00,130000.00,0.492692308,,,,,,
200289,2020,11/23/2020,Norwalk,188 FLAX HILL RD UNIT B/6,173040.00,330000.00,0.5243,Residential,Condo,,2-48-42-B/6,,
200427,2020,02/05/2021,Norwich,287-291 MAIN ST,587600.00,939000.00,0.6257,Commercial,,,,,
10405,2001,07/25/2002,Stonington,24 W VINE ST,85440.00,19000.00,4.496842105,,,8,,,
10558,2001,07/09/2002,Newington,110 DAY ST,74970.00,265000.00,0.28290566,,,7,,,
20249,2020,09/30/2021,Orange,387 TIMBERLANE DR,297700.00,550000.00,0.5412,Residential,Single Family,,,,
10320,2001,05/07/2002,Vernon,213 12 REGAN RD,28560.00,50000.00,0.5712,,,,,,
200377,2020,08/16/2021,Plainville,492 EAST ST B-36,41090.00,89900.00,0.457,Residential,Condo,,,,
202000141,2020,03/18/2021,Plymouth,99 EASTVIEW ROAD,34790.00,10000.00,3.479,Vacant Land,,,,,
21070,2021,11/18/2021,Stafford,155 WALES RD,35140.00,34350.00,1.0229,Vacant Land,,,,,POINT (-72.252703856 42.016435568)
10059,2001,09/04/2002,Warren,13 PARTRIDGE RD,173250.00,274900.00,0.630229174,,,7,,,
200010,2020,10/22/2020,Rocky Hill,59 HIGHCREST DRIVE,128870.00,193000.00,0.6677,Residential,Condo,,,,
200568,2020,10/07/2020,Salem,81A SKYLINE DR.,46900.00,75000.00,0.6253,Vacant Land,,,,,
2100154,2021,10/19/2021,Stamford,99 OLD BARN ROAD WEST,292910.00,530000.00,0.5526,Residential,Single Family,,,,POINT (-73.555591979 41.071525007)
20104,2020,08/24/2021,Sherman,6 BULLYMUCK RD,23600.00,41382.00,0.5702,Vacant Land,,,,,
200002,2020,10/01/2020,Simsbury,24 BRETTONWOOD DRIVE,186610.00,252000.00,0.7405,Residential,Condo,,,,
20486,2020,06/15/2021,Southbury,808 A HERITAGE VILLAGE,92080.00,185000.00,0.4977,Residential,Condo,,,,
220105,2022,11/14/2022,Hartford,67 CONGRESS AVE 067C,33773.00,125000.00,0.2702,Residential,Condo,,,,POINT (-72.676278033 41.753018997)
220879,2022,08/21/2023,Hartford,45-51 WILLARD ST UNIT 3EL,14222.00,69900.00,0.2034,Residential,Condo,,,,POINT (-72.695043018 41.772539989)
22211,2022,04/28/2023,Montville,41 CAROL DR,206410.00,355000.00,0.5814,Residential,Single Family,,,,POINT (-72.147517992 41.452868996)
2222100,2022,02/21/2023,Ansonia,124 TREMONT ST,120960.00,105000.00,1.1520,Residential,Single Family,26 - Rehabilitation Deferred,SOLD OUT OF FCL WITHOUT REPAIRING,,POINT (-73.074479035 41.342346017)
220156,2022,08/18/2023,North Branford,15 CONIFER DR,184000.00,457000.00,0.4026,Residential,Single Family,,,,POINT (-72.75963372 41.284453859)
2200461,2022,06/26/2023,East Hartford,7 STRAWBERRY LN,181350.00,360000.00,0.5037,Residential,Condo,,,,POINT (-72.603793197 41.764480413)
220115,2022,02/06/2023,Killingly,491 WESTCOTT RD,105980.00,150000.00,0.7065,Residential,Single Family,,,,POINT (-71.852001004 41.798666004)
220891,2022,08/29/2023,New Haven,646 WOODWARD AV,183750.00,340000.00,0.5404,Residential,Single Family,,,,POINT (-72.895753976 41.286430006)
222323,2022,08/21/2023,Bridgeport,2660 NORTH AVE UNIT 240,96190.00,260000.00,0.3699,Residential,Condo,,,,POINT (-73.22075498 41.177351983)
2200341,2022,05/11/2023,Naugatuck,80 NORTH HOADLEY ST,171570.00,294900.00,0.5817,Residential,Single Family,,,,POINT (-73.065332031 41.496816991)
220009,2022,10/11/2022,Colchester,43 CATO CORNER RD,215500.00,322900.00,0.6673,Residential,Single Family,,,,POINT (-72.381113 41.559651006)
222124,2022,07/05/2023,Bridgeport,173 BENNETT ST,138730.00,370000.00,0.3749,Residential,Single Family,,,,POINT (-73.230219992 41.158150007)
221033,2022,09/01/2023,Milford,25 AUGUSTA DR,441870.00,768000.00,0.5753,Residential,Single Family,,,,POINT (-73.078565967 41.270284993)
220278,2022,01/24/2023,New Haven,132 DERBY AV,191800.00,278000.00,0.6899,Residential,Three Family,,,,POINT (-72.950664998 41.310376013)
22312,2022,06/21/2023,Darien,16 PLYMOUTH ROAD,1595160.00,3195000.00,0.4992,Residential,Single Family,,,,POINT (-73.487627988 41.046431014)
22100,2022,06/08/2023,Burlington,451 SPIELMAN HWY,143570.00,330000.00,0.4351,Residential,Single Family,,,GOOD SALE PER MLS,POINT (-72.996270011 41.776912996)
220071,2022,01/24/2023,East Windsor,72 ROCKVILLE RD,140890.00,285000.00,0.4943,Residential,Single Family,,,,POINT (-72.530435013 41.881895998)
22250,2022,09/12/2023,Monroe,60 OLD COLONY RD,296900.00,636000.00,0.4668,Residential,Single Family,,,,POINT (-73.246332022 41.320442008)
220605,2022,06/05/2023,New Haven,105 BARCLAY ST,300580.00,500000.00,0.6011,Industrial,,,INCLUDES ACCESSORY LOTS 125-135 ADELINE ST,,POINT (-72.943444994 41.294129999)
